
Stock Name,Date,Open,High,Low,Close,7-Day MA
Nifty 50,09-09-2025,24864.1,24891.8,24814.0,24868.6,
Nifty 50,10-09-2025,24991.0,25035.7,24915.05,24973.1,
Nifty 50,11-09-2025,24945.5,25037.3,24940.15,25005.5,
Nifty 50,12-09-2025,25074.45,25139.45,25038.05,25114.0,
Nifty 50,15-09-2025,25118.9,25138.45,25048.75,25069.2,
Nifty 50,16-09-2025,25073.6,25261.4,25070.45,25239.1,
Nifty 50,17-09-2025,25276.6,25346.5,25275.35,25330.25,25085.67857
Nifty 50,18-09-2025,25441.05,25448.95,25329.75,25423.6,25164.9642
Nifty 50,19-09-2025,25410.2,25431.4,25286.3,25327.05,25215.52857
Nifty 50,22-09-2025,25238.1,25331.7,25151.05,25202.35,25243.65
Nifty 50,23-09-2025,25209.0,25261.9,25084.65,25169.5,25251.57857
Nifty 50,24-09-2025,25108.75,25149.85,25027.45,25056.9,25249.821428
Nifty 50,25-09-2025,25034.5,25092.7,24878.3,24890.85,25200.0714285
Nifty 50,26-09-2025,24818.55,24868.6,24629.45,24654.7,25103.5642857
Nifty 50,29-09-2025,24728.55,24791.3,24606.2,24634.9,24990.89285714
Nifty 50,30-09-2025,24691.95,24731.8,24587.7,24611.1,24888.614285714
Nifty 50,01-10-2025,24620.55,24867.95,24605.95,24836.3,24836.3214285
Nifty 50,03-10-2025,24759.55,24904.8,24747.55,24894.25,24797.0
Nifty 50,06-10-2025,24916.55,25095.95,24881.65,25077.65,24799.9642857
Nifty 50,07-10-2025,25085.3,25220.9,25076.3,25108.3,24831.028571428567
Nifty 50,08-10-2025,25079.75,25192.5,25008.5,25046.15,24886.95000000
Nifty Next 50,09-09-25,67512.4,67578.8,67256.6,67460.75,
Nifty Next 50,10-09-25,67696.05,67962.7,67629.4,67753.8,
Nifty Next 50,11-09-25,67816.35,68064.1,67648.55,67974.7,
Nifty Next 50,12-09-25,68196.1,68303.7,68064.1,68194.0,
Nifty Next 50,15-09-25,68377.05,68691.4,68339.8,68603.15,
Nifty Next 50,16-09-25,68779.0,69048.65,68604.55,69000.75,
Nifty Next 50,17-09-25,69188.8,69306.5,68971.5,69147.1,68304.8928571
Nifty Next 50,18-09-25,69314.05,69438.85,69017.85,69334.3,68572.542857
Nifty Next 50,19-09-25,69621.3,69863.3,69494.9,69736.6,68855.8
Nifty Next 50,22-09-25,69822.0,70462.2,69756.75,69962.3,69139.7428571
Nifty Next 50,23-09-25,70251.15,70317.4,69471.95,69643.4,69346.8
Nifty Next 50,24-09-25,69626.1,69698.6,68757.55,68808.2,69376.09285714
Nifty Next 50,25-09-25,68804.85,69123.75,68210.4,68293.65,69275.0785714
Nifty Next 50,26-09-25,68248.35,68298.0,67073.45,67144.95,68989.05714285
Nifty Next 50,29-09-25,67353.75,67911.55,67222.7,67835.1,68774.885714285
Nifty Next 50,30-09-25,67938.05,68161.25,67571.7,67845.15,68504.678571428
Nifty Next 50,01-10-25,67842.7,68199.05,67662.05,68087.3,68236.82142857143
Nifty Next 50,03-10-25,68213.75,68396.35,67848.55,68355.9,68052.892857142
Nifty Next 50,06-10-25,68436.2,68633.75,68157.95,68590.25,68021.757142857
Nifty Next 50,07-10-25,68696.85,68872.75,68476.05,68671.2,68075.692857142
Nifty Next 50,08-10-25,68685.05,68737.95,68050.7,68139.95,68217.835714285
