
task,category,value,x,y
task1,Jan,12,,
task1,Feb,18,,
task1,Mar,25,,
task1,Apr,20,,
task1,May,27,,
task1,Jun,30,,
task1,Jul,28,,
task1,Aug,35,,
task1,Sep,31,,
task1,Oct,40,,

task2,Product A,50,,
task2,Product B,65,,
task2,Product C,55,,
task2,Product D,70,,
task2,Product E,60,,
task2,Product F,80,,
task2,Product G,75,,
task2,Product H,90,,
task2,Product I,85,,
task2,Product J,95,,

task3,Point 1,,1,5
task3,Point 2,,2,8
task3,Point 3,,3,6
task3,Point 4,,4,10
task3,Point 5,,5,9
task3,Point 6,,6,13
task3,Point 7,,7,11
task3,Point 8,,8,15
task3,Point 9,,9,14
task3,Point 10,,10,18
